ProteinIndex,OOB_score
A0A3Q7I4B6,0.9808610484950014
A0A2K1IP85,0.8083928401279102
A0A2K1IE84,0.992972590345081
Q6Z7V7,0.401398576286587
A0A3P6BCW4,0.9786928545945243
A0A8D9CPG8,0.9882280057754744
A0A1P8BEG6,0.9694150971107287
A0A3Q7IUE8,0.03877115161387039
A0A2K3DI91,0.9241720906901248
A0A0P0YCS0,0.9670312928434747
A0A3Q7HEK7,0.9547475170897723
A0A8D9I5I3,0.9646184326608741
A0A3B6AYT2,0.987561198734369
A0A7I4B4Y5,0.2865608315379381
A0A2K1JD04,0.5882612823630555
A0A0P0XJG5,0.9782918501560559
Q60E68,0.9694112209130321
Q69NG1,0.9224646102939771
A0A3Q7GF82,0.4392767618396936
Q7XAL7,0.9799534718198625
O82325,0.1644404914260386
A0A2K1IGF7,0.645737608167912
A0A3P5YAK4,0.9870028868754922
B4FSZ8,0.984660138346707
Q9LIQ2,0.9046464747261292
A0A3B6LLR1,0.19076569730840964
A0A8D9HI67,0.985761805710921
A0A2K1K033,0.971642934839826
Q9ZQ47,0.9786024696587603
A0A804U813,0.9751059931945748
A0A8D9G7W7,0.6292939768877512
A0A804M1R4,0.9353820847382539
A0A3B6AV31,0.9614895293332222
A0A1D6G6A1,0.9912827879206435
A0A060D6C7,0.9751976635813516
A0A2K1IVX7,0.9914423347715049
A0A2K1L8B9,0.9842375930424647
B6T4G7,0.9926104937659762
A0A804NJ26,0.9736185453010361
A0A3Q7F6B2,0.9700668945156231
A0A3B6NV09,0.9661092779083823
K7VCZ8,0.961523926269634
A0A3B6BZG0,0.9842457468577601
Q6ZBX2,0.13295042657260805
A0A0P0VAL2,0.3762202616133324
A0A1D6E685,0.963842614484483
A0A398ACM5,0.9758363394626629
A0A804REM9,0.9478340806959622
A0A3Q7J8F9,0.9626199751156074
A0A2K1KPK9,0.9030351259480286
Q0J0J1,0.9878851887020568
Q6AUG1,0.9347327609531787
B6SQL7,0.9027620767440431
K7VEE4,0.9426753131047438
A0A8D9LWZ3,0.9848428329473623
A0A2K3CYY9,0.2296879660154105
A0A804QS94,0.9603810317077831
O64728,0.9912589255734325
A0A3P5ZPS7,0.969046818058842
A0A2K3D8S1,0.9314054873398396
A0A2K1JV56,0.0982416642217077
A0A3B6I093,0.7548160015422613
A0A3B6NSZ5,0.9910239848136072
A0A1D6HSJ3,0.9348157833215477
A0A2K3E3B3,0.9696816670242328
A0A494G8R9,0.9403587250077
Q8L9A0,0.982606222793303
A0A3Q7HZB2,0.9750378556249594
Q9LWY6,0.9444371036185781
A9RJN0,0.48144407080088153
Q0JAK1,0.9727953063303215
A0A2K1IGI7,0.9600508097113852
A0A0P0XHH3,0.5321014349504193
Q8L7G9,0.9719046160243983
A0A397Y7S5,0.8813491075252187
B9G369,0.9780664935780427
B3H674,0.8071383676139046
A0A8D9DCW3,0.9393174967226068
A0A8D9DEQ3,0.5606398081469277
Q6EPZ3,0.9664174094717647
A0A2K3DUQ8,0.9834257185493606
K7TN98,0.9871761867796716
A0A0P0YA93,0.13325155213327208
A0A3B6LJ03,0.9720774825413421
Q9LIR6,0.9851753814682864
Q8LIX4,0.9748962299581266
Q9XID0,0.9860681536340142
Q6RF46,0.8903114128417025
A8HMV4,0.9840196694585326
A0A2K3DAH4,0.9908152432534508
A0A494G8M2,0.9895754516692175
A0A3B6KJC2,0.9915177248577421
B6U4G9,0.9760215836762345
A0A3Q7GMG0,0.8367955652601231
Q6Z1P3,0.9579648359342505
A0A0P0WT20,0.7416448177002559
A0A804Q5G1,0.9721816458161718
Q69MT7,0.9760278255328576
A0A3B6A3Q5,0.9865254150419137
A0A804MVH7,0.9199843231599538
A0A0P0X9V0,0.9221313417001125
Q52K95,0.12467543322021639
A0A804NNX8,0.21069807603458915
A0A3P5ZVN9,0.19012403561574853
A0A0P0XRW3,0.9472129440725184
A0A3Q7GCG4,0.9238643161604434
A0A1D6KNA9,0.9762187536386071
A0A0P0XSC9,0.935681766532579
A0A0P0V358,0.17054670380677509
B6U254,0.9558361964147172
A0A3Q7GSL2,0.988130537891891
A0A3Q7F9Q9,0.0819128580629322
A0A2K3CW56,0.9458230703770757
A9U2E8,0.8232036054926358
A0A2K1JR90,0.1601251282596609
F4KDB8,0.9611918752667395
Q6Z6J2,0.9708477110662637
A0A0P0V9T6,0.9708421063634883
A0A0P0WVN9,0.9736523495658607
A0A8D9CR40,0.9704376441177036
A0A8D9D5C1,0.9864957613475925
A0A0P0WU84,0.29334578567274283
Q69SG3,0.6124287330704573
A9S1L2,0.9615098252362505
A0A2K3DRY7,0.961873941812849
A0A8D9D3W1,0.9677908816266161
A0A2K1L9A8,0.9805783008210429
A0A2K1IAR5,0.3064178450568872
A0A7I4CQG2,0.981489179797417
A0A3Q7J9W6,0.9649538158080607
A0A3Q7HJR1,0.928278832430982
A0A1P8B502,0.6388659234167946
F4JN58,0.9351376323346737
A0A1D6GVS2,0.9870447280451962
A0A2K3DEN8,0.9898114995908577
A0A0P0Y627,0.9749897734834222
A0A3Q7HAT1,0.3558729713931714
A0A2K1LAE5,0.9808271377541566
A0A2K1IVC3,0.9809936343117839
A0A3Q7J7Z3,0.9882807599643287
A0A0P0UYN6,0.7047091514204512
Q9ZW35,0.9705666432932892
A0A3Q7HUW4,0.9905953520382631
A0A3P5ZCM9,0.9574178883899218
A0A397YM14,0.8665827474723565
Q0ISH5,0.9633535007976387
